recording_id,known_species,lat,lon,date,detected_species,detected_common,confidence,start_time_s,end_time_s
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.994,39.0,42.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Malurus melanocephalus,Red-backed Fairywren,0.392,39.0,42.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.904,51.0,54.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.711,54.0,57.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.947,66.0,69.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.935,78.0,81.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.452,81.0,84.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.363,87.0,90.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.996,90.0,93.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Sphecotheres vieilloti,Australasian Figbird,0.738,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Oriolus flavocinctus,Green Oriole,0.424,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Ptiloris magnificus,Magnificent Riflebird,0.291,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Ptiloris magnificus,Magnificent Riflebird,0.758,9.0,12.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Oriolus flavocinctus,Green Oriole,0.307,12.0,15.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.753,0.0,3.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.533,3.0,6.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.491,6.0,9.0
